Task,InitTransferTime
conv2d_1,943
conv2d_2,7292
conv2d_3,13636
conv2d_4,3741
conv2d_5,99676
conv2d_9,8633
conv2d_7,7338
conv2d_6,8786
conv2d_12,4604
conv2d_10,40630
conv2d_8,55696
conv2d_11,60427
conv2d_16,12636
conv2d_14,9366
conv2d_13,11492
conv2d_19,11756
conv2d_17,39994
conv2d_15,55248
conv2d_18,59476
conv2d_23,13792
conv2d_21,10684
conv2d_20,13594
conv2d_26,13266
conv2d_24,39323
conv2d_22,54752
conv2d_25,60425
conv2d_28,12830
conv2d_27,720247
conv2d_29,40006
conv2d_30,59723
conv2d_35,71200
conv2d_32,71400
conv2d_31,107082
conv2d_40,107534
conv2d_36,83658
conv2d_33,83114
conv2d_37,82454
conv2d_34,123927
conv2d_38,81908
conv2d_39,125613
conv2d_45,89791
conv2d_42,89078
conv2d_41,107792
conv2d_50,106480
conv2d_46,128431
conv2d_43,128617
conv2d_47,128407
conv2d_44,154652
conv2d_48,129276
conv2d_49,155039
conv2d_55,90043
conv2d_52,89106
conv2d_51,107142
conv2d_60,106302
conv2d_56,129209
conv2d_53,128366
conv2d_57,129514
conv2d_54,155262
conv2d_58,129281
conv2d_59,155170
conv2d_65,104929
conv2d_62,106124
conv2d_61,106880
conv2d_70,105268
conv2d_66,188038
conv2d_63,184368
conv2d_67,184712
conv2d_64,183666
conv2d_68,184282
conv2d_69,183822
conv2d_73,105250
conv2d_71,104888
conv2d_74,183758
conv2d_72,394236
conv2d_75,184368
conv2d_76,237422
conv2d_81,408938
conv2d_78,350950
conv2d_77,292328
conv2d_85,175416
conv2d_82,1103830
conv2d_79,315612
conv2d_80,316236
conv2d_83,315454
conv2d_84,315634
conv2d_90,654978
conv2d_87,560764
conv2d_86,467548
conv2d_94,280754
conv2d_91,1104316
conv2d_88,316158
conv2d_89,316034
conv2d_92,315326
conv2d_93,315476
predictions,1615
